,name,id,shelfside score,dan score,ash score,categories,descriptions
0,Dominion,36218,8.0,4.0,7.0,"['Card Game', 'Medieval']","[<description>&amp;quot;You are a monarch, like your parents before you, a ruler of a small pleasant kingdom of rivers and evergreens. Unlike your parents, however, you have hopes and dreams! You want a bigger and more pleasant kingdom, with more rivers and a wider variety of trees. You want a Dominion! In all directions lie fiefs, freeholds, and feodums. All are small bits of land, controlled by petty lords and verging on anarchy. You will bring civilization to these people, uniting them under your banner.&lt;br/&gt;&lt;br/&gt;But wait! It must be something in the air; several other monarchs have had the exact same idea. You must race to get as much of the unclaimed land as possible, fending them off along the way. To do this you will hire minions, construct buildings, spruce up your castle, and fill the coffers of your treasury. Your parents wouldn't be proud, but your grandparents, on your mother's side, would be delighted.&amp;quot;&lt;br/&gt;&lt;br/&gt;&amp;mdash;description from the back of the box&lt;br/&gt;&lt;br/&gt;In Dominion, each player starts with an identical, very small deck of cards.  In the center of the table is a selection of other cards the players can &amp;quot;buy&amp;quot; as they can afford them.  Through their selection of cards to buy, and how they play their hands as they draw them, the players construct their deck on the fly, striving for the most efficient path to the precious victory points by game end.&lt;br/&gt;&lt;br/&gt;Dominion is not a CCG, but the play of the game is similar to the construction and play of a CCG deck. The game comes with 500 cards. You select 10 of the 25 Kingdom card types to include in any given play&amp;mdash;leading to immense variety.&lt;br/&gt;&lt;br/&gt;&amp;mdash;user summary&lt;br/&gt;&lt;br/&gt;Part of the Dominion series.&lt;br/&gt;&lt;br/&gt;</description>]"
1,The Resistance ,41114,9.0,5.0,6.0,"['Bluffing', 'Card Game', 'Deduction', 'Negotiation', 'Party Game', 'Print &amp; Play', 'Science Fiction', 'Spies/Secret Agents']","[<description>The Empire must fall. Our mission must succeed. By destroying their key bases, we will shatter Imperial strength and liberate our people. Yet spies have infiltrated our ranks, ready for sabotage. We must unmask them. In five nights we reshape destiny or die trying. We are the Resistance!&lt;br/&gt;&lt;br/&gt;The Resistance is a party game of social deduction. It is designed for five to ten players, lasts about 30 minutes, and has no player elimination. The Resistance is inspired by Mafia/Werewolf, yet it is unique in its core mechanics, which increase the resources for informed decisions, intensify player interaction, and eliminate player elimination.&lt;br/&gt;&lt;br/&gt;Players are either Resistance Operatives or Imperial Spies. For three to five rounds, they must depend on each other to carry out missions against the Empire. At the same time, they must try to deduce the other players&amp;rsquo; identities and gain their trust. Each round begins with discussion. When ready, the Leader entrusts sets of Plans to a certain number of players (possibly including himself/herself). Everyone votes on whether or not to approve the assignment. Once an assignment passes, the chosen players secretly decide to Support or Sabotage the mission. Based on the results, the mission succeeds (Resistance win) or fails (Empire win). When a team wins three missions, they have won the game.&lt;br/&gt;&lt;br/&gt;Rule Correction:&lt;br/&gt;&lt;br/&gt;For first printing (2010 purchases), the expansion rules should read: &amp;quot;Games of 5-6 players use 7 plot cards, games with 7+ players use all 15 Plot Cards.&amp;quot; and &amp;quot;...each Round, the leader draws Plot cards (1 for 5-6 players, 2 for 7-8 players, and 3 for 9-10 players)&amp;quot; - This has been corrected in the subsequent printings.&lt;br/&gt;&lt;br/&gt;</description>]"
2,Incan Gold,15512,7.0,8.0,8.0,"['Adventure', 'Bluffing', 'Exploration']","[<description>Diamant &amp;mdash; also published as Incan Gold &amp;mdash; is a quick, fun press-your-luck game. Players venture down mine shafts or explore paths in the jungle by turning up cards from a deck and evenly sharing the gems they find on the way, with any leftover gems being placed on the card. Before the next card is revealed, you have the chance to leave the mine and stash your holdings, including any gems you get on the way out.&lt;br/&gt;&lt;br/&gt;Why would you leave? Because the deck also contains hazards: scorpions, snakes, poison gas, explosions and rockfalls. When a particular hazard is revealed for the second time (e.g., a second scorpion), anyone still in the shaft or on the path has to drop all the gems they've collected that round and flee for safety. The trick is that as more players leave each turn, your share of the pie grows larger, which will perhaps inspire you to explore deeper &amp;mdash; but at the risk of ending up with nothing.&lt;br/&gt;&lt;br/&gt;All editions of Incan Gold and later editions of Diamant include five artifact cards that are shuffled into the deck of gem and hazard cards, either one per round or all at once. When an artifact card is revealed, no one can take this card and it's placed on the path. If exactly one player leaves at the end of a turn, they collect not only all gems that remain on the path, but the artifact as well, which is worth points at the end of the game.&lt;br/&gt;&lt;br/&gt;</description>]"
3,Splendor,148228,9.0,7.0,6.0,"['Card Game', 'Economic', 'Renaissance']","[<description>Splendor is a game of chip-collecting and card development. Players are merchants of the Renaissance trying to buy gem mines, means of transportation, shops&amp;mdash;all in order to acquire the most prestige points. If you're wealthy enough, you might even receive a visit from a noble at some point, which of course will further increase your prestige.&lt;br/&gt;&lt;br/&gt;On your turn, you may (1) collect chips (gems), or (2) buy and build a card, or (3) reserve one card. If you collect chips, you take either three different kinds of chips or two chips of the same kind. If you buy a card, you pay its price in chips and add it to your playing area. To reserve a card&amp;mdash;in order to make sure you get it, or, why not, your opponents don't get it&amp;mdash;you place it in front of you face down for later building; this costs you a round, but you also get gold in the form of a joker chip, which you can use as any gem.&lt;br/&gt;&lt;br/&gt;All of the cards you buy increase your wealth as they give you a permanent gem bonus for later buys; some of the cards also give you prestige points. In order to win the game, you must reach 15 prestige points before your opponents do.&lt;br/&gt;&lt;br/&gt;</description>]"
4,Dixit,39856,6.0,8.0,4.0,"['Card Game', 'Humor', 'Party Game']","[<description>Each turn in Dixit, one player is the storyteller, chooses one of the six cards in their hand, then makes up a sentence based on that card's image and says it out loud without showing the card to the other players. Each other player then selects the card in their hand that best matches the sentence and gives the selected card to the storyteller, without showing it to anyone else.&lt;br/&gt;&lt;br/&gt;The storyteller shuffles their card with all of the received cards, then reveals all of these cards. Each player other than the storyteller then secretly guesses which card belongs to the storyteller. If nobody or everybody guesses the correct card, the storyteller scores 0 points, and each other player scores 2 points. Otherwise, the storyteller and whoever found the correct answer score 3 points. Additionally, the non-storyteller players score 1 point for every vote received by their card.&lt;br/&gt;&lt;br/&gt;The game ends when the deck is empty or if a player has scored at least 30 points. In either case, the player with the most points wins.&lt;br/&gt;&lt;br/&gt;The Dixit base game and each expansion contains 84 cards, and the cards can be mixed together as desired.&lt;br/&gt;&lt;br/&gt;</description>]"
5,Coup,131357,10.0,5.0,6.0,"['Bluffing', 'Card Game', 'Deduction', 'Party Game', 'Political']","[<description>You are head of a family in an Italian city-state, a city run by a weak and corrupt court. You need to manipulate, bluff and bribe your way to power. Your object is to destroy the influence of all the other families, forcing them into exile. Only one family will survive...&lt;br/&gt;&lt;br/&gt;In Coup, you want to be the last player with influence in the game, with influence being represented by face-down character cards in your playing area.&lt;br/&gt;&lt;br/&gt;Each player starts the game with two coins and two influence &amp;ndash; i.e., two face-down character cards; the fifteen card deck consists of three copies of five different characters, each with a unique set of powers:&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;     Duke: Take three coins from the treasury. Block someone from taking foreign aid.&lt;br/&gt;     Assassin: Pay three coins and try to assassinate another player's character.&lt;br/&gt;     Contessa: Block an assassination attempt against yourself.&lt;br/&gt;     Captain: Take two coins from another player, or block someone from stealing coins from you.&lt;br/&gt;     Ambassador: Draw two character cards from the Court (the deck), choose which (if any) to exchange with your face-down characters, then return two. Block someone from stealing coins from you.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;On your turn, you can take any of the actions listed above, regardless of which characters you actually have in front of you, or you can take one of three other actions:&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;     Income: Take one coin from the treasury.&lt;br/&gt;     Foreign aid: Take two coins from the treasury.&lt;br/&gt;     Coup: Pay seven coins and launch a coup against an opponent, forcing that player to lose an influence. (If you have ten coins or more, you must take this action.)&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;When you take one of the character actions &amp;ndash; whether actively on your turn, or defensively in response to someone else's action &amp;ndash; that character's action automatically succeeds unless an opponent challenges you. In this case, if you can't (or don't) reveal the appropriate character, you lose an influence, turning one of your characters face-up. Face-up characters cannot be used, and if both of your characters are face-up, you're out of the game.&lt;br/&gt;&lt;br/&gt;If you do have the character in question and choose to reveal it, the opponent loses an influence, then you shuffle that character into the deck and draw a new one, perhaps getting the same character again and perhaps not.&lt;br/&gt;&lt;br/&gt;The last player to still have influence &amp;ndash; that is, a face-down character &amp;ndash; wins the game!&lt;br/&gt;&lt;br/&gt;A new &amp;amp; optional character called the Inquisitor has been added (currently, the only English edition with the Inquisitor included is the Kickstarter Version from Indie Boards &amp;amp; Cards. Copies in stores may not be the Kickstarter versions and may only be the base game). The Inquisitor character cards may be used to replace the Ambassador cards.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;     Inquisitor: Draw one character card from the Court deck and choose whether or not to exchange it with one of your face-down characters. OR Force an opponent to show you one of their character cards (their choice which). If you wish it, you may then force them to draw a new card from the Court deck. They then shuffle the old card into the Court deck. Block someone from stealing coins from you.&lt;br/&gt;&lt;br/&gt;&lt;br/&gt;</description>]"
6,Snake Oil,113289,7.0,9.0,,"['Card Game', 'Humor', 'Party Game']","[<description>In the Old West, the wily snake oil salesman had a special talent, getting the most skeptical customers to buy the most dubious products. Now it's your turn! Invent your own zany two-word products &amp;ndash; Rumor Mirror! Burp Balloon! &amp;ndash; and sell them to all types of wacky customers. If the round's customer buys your product, you win the round!&lt;br/&gt;&lt;br/&gt;To set up Snake Oil, each player takes six purple word cards. The customer for the round draws a customer card and announces it. Inventors quickly combine two purple word cards from their hand to form a crazy new product to sell to that customer. When ready, each inventor quickly pitches his or her product directly to the customer. The customer can end any pitch that goes longer than thirty seconds. The customer decides which product to buy and gives the inventor of that product the round's customer card as the prize. Inventors discard all used word cards and take two new word cards each. The player to the left of the customer becomes the next round's customer. Play repeats until each player has been the customer once.&lt;br/&gt;&lt;br/&gt;Whoever collects the most customer cards wins the game.&lt;br/&gt;&lt;br/&gt;</description>]"
7,SanGuoSha,140065,7.0,5.0,9.0,"['Ancient', 'Bluffing', 'Card Game', 'Civil War', 'Fighting', 'Novel-based']","[<description>Same game game as &lt;a target='_blank' href=""https://boardgamegeek.com/boardgame/159438/san-guo-sha-complete-edition"" rel=""nofollow noreferrer noopener""&gt;https://boardgamegeek.com/boardgame/159438/san-guo-sha-compl...&lt;/a&gt;&lt;br/&gt;Needs merging.&lt;br/&gt;&lt;br/&gt;Legends of the Three Kingdoms (a.k.a. San Guo Sha) is a card game based off the Chinese classical novel, Romance of the Three Kingdoms, which shares many rules with BANG!, the differences are as follows:&lt;br/&gt;1. The Monarch (Sheriff) may get an additional skill related to their kingdom allegiance; players routinely have two powers.&lt;br/&gt;2. Weapons may have their own additional powers.&lt;br/&gt;3. A card to let a player borrow a weapon from another.&lt;br/&gt;4. A card to cancel the effect of other cards.&lt;br/&gt;5. Peach (Beer) may be played by any player when someone loses their last life; there is no exemption of using Peach when there are only 2 players left.&lt;br/&gt;6. The game proceeds counter-clockwise.&lt;br/&gt;&lt;br/&gt;This is a compilation of the base Legends of the Three Kingdoms game and first three San Guo Sha expansions in a metal tin.&lt;br/&gt;&lt;br/&gt;All text is in Simplified Chinese.&lt;br/&gt;&lt;br/&gt;</description>]"
8,Suburbia,123260,9.0,9.0,8.0,"['City Building', 'Economic']","[<description>Plan, build, and develop a small town into a major metropolis. Use hex-shaped building tiles to add residential, commercial, civic, and industrial areas, as well as special points of interest that provide benefits and take advantage of the resources of nearby towns. Your goal is to have your borough thrive and end up with a greater population than any of your opponents.&lt;br/&gt;&lt;br/&gt;Suburbia is a tile-laying game in which each player tries to build up an economic engine and infrastructure that will be initially self-sufficient, and eventually become both profitable and encourage population growth. As your town grows, you'll modify both your income and your reputation. As your income increases, you'll have more cash on hand to purchase better and more valuable buildings, such as an international airport or a high-rise office building. As your reputation increases, you'll gain more and more population &amp;mdash; and the player with the largest population at the end of the game wins.&lt;br/&gt;&lt;br/&gt;During each game, players compete for several unique goals that offer an additional population boost &amp;mdash; and the buildings available in each game vary, so you'll never play the same game twice!&lt;br/&gt;&lt;br/&gt;The second edition of Suburbia features updated artwork, larger tiles than in the original game, a dual-sided scoreboard, GameTrayz storage organizers, and more!&lt;br/&gt;&lt;br/&gt;</description>]"
9,Cash N Guns,19237,8.0,8.0,5.0,"['Bluffing', 'Card Game', 'Fighting', 'Humor', 'Mafia', 'Negotiation', 'Party Game']","[<description>In an abandoned warehouse a gangster band is splitting its loot, but they can&amp;rsquo;t get an agreement on the split!  It&amp;rsquo;s time to let the guns talk and soon everyone is aiming at everyone. The richest surviving gangster wins the game!&lt;br/&gt;&lt;br/&gt;Ca$h 'n Gun$ will make you relive the best scenes of your favorite gangster movies. Fun, bluffing, and tough negotiations are guaranteed, but will you dare to play? It's simply killing!&lt;br/&gt;&lt;br/&gt;On each turn, a player will assume the role of &amp;quot;The Don&amp;quot;, and will call out the steps in gameplay.&lt;br/&gt;&lt;br/&gt;Before the skirmish itself, an available pot of cash will be laid out before the players. This pot must be evenly split up amongst all of the surviving hoods.&lt;br/&gt;&lt;br/&gt;After that, the &amp;quot;Don&amp;quot; of the round will ask the players, including himself, to load their guns (in the form of selecting one of three possible cards: &amp;quot;Bang!&amp;quot;, &amp;quot;Bang! Bang! Bang!&amp;quot; or &amp;quot;Click! Click!&amp;quot; from a set of 8 cards: 2 &amp;quot;Bang!&amp;quot;s, 1 Triple-&amp;quot;Bang!&amp;quot; and 5 &amp;quot;Clicks!&amp;quot;), and then count down to all of the players aiming their guns (real foam guns).&lt;br/&gt;&lt;br/&gt;Each player will then take a look at how many guns are pointed at them, and also take a look at the available pot of cash for the round before deciding if they want to &amp;quot;Chicken Out&amp;quot; and remove themselves from the skirmish. If they choose to back down, they will get a &amp;quot;Chicken&amp;quot; token which will deduct from their ill-gotten gains at the end of the game.&lt;br/&gt;But all players have to &amp;quot;Chicken Out&amp;quot; at the same time, using a countdown like the aiming.&lt;br/&gt;&lt;br/&gt;The remaining players will resolve the shootout showing their cards. First, all Triple-&amp;quot;Bangs!&amp;quot; wound the players they are aimed at. If there are still-aiming players with &amp;quot;Bang!&amp;quot; cards, those now wound their targets. &amp;quot;Click!&amp;quot;s are only bluffs and do nothing. A player that is wounded during the standoff does not participate in the split of the cash and receives a bandage (any player that receives a certain number of bandages is eliminated from the game). Now all the used cards are discarded--even those of the players that &amp;quot;Chickened Out&amp;quot;.&lt;br/&gt;&lt;br/&gt;Now the remaining players will finally split the cash. If the cash cannot be divided evenly, the rest is kept on the table and is added to the new pot.&lt;br/&gt;&lt;br/&gt;The game is played 8 rounds, until all cards were played. Keeping track of the cards is important, since all players have only a limited supply of &amp;quot;real&amp;quot; shots.&lt;br/&gt;&lt;br/&gt;There are a couple of expansions packed-in with most editions that change some of the mechanics of the game, and also add a new &amp;quot;traitor&amp;quot;-based mechanic, as well.&lt;br/&gt;&lt;br/&gt;</description>]"
